,STATE_FIPS,COUNTY_FIPS,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,deaths,property_damage,start_year,end_year,historic_mean_precip,historic_mean_avg_temp,change_mean_daily_mean_temp
106,5,41,0.2038382605801763,588.0,0.4048735950634385,1286.0,0,51152000,2006,2010,52.27838,63.25482144,2.50446394
107,5,43,0.2014612208048417,1446.0,0.184283024688075,1386.0,0,10196000,2006,2010,53.27953,63.2188709,2.52193531
108,5,45,0.0661029932046878,11544.0,0.0584286095759853,7597.0,2,6714500,2006,2010,48.9836,61.0790698,2.51418571
109,5,47,0.1791787033312612,931.0,0.1983459489767311,849.0,0,1650000,2006,2010,48.15047,59.9904881,2.67853667
110,5,49,0.3134609206480334,683.0,0.2747840486331647,989.0,0,4197100,2006,2010,44.82351,57.56790685,2.61837183
111,5,51,0.0534618287217914,6404.0,0.0474899667750596,5266.0,1,4246350,2006,2010,53.6115,60.80772721,2.48545438
112,5,53,0.3102131721285396,1521.0,0.2653678199529727,1185.0,0,9763000,2006,2010,51.77726,62.24534873,2.72999999
113,5,55,0.121522455848405,2331.0,0.1036640012277524,2148.0,0,28556620,2006,2010,45.9469,60.28474989,2.49924984
114,5,57,0.2044065146334341,1519.0,0.1919282026329305,1420.0,0,3140000,2006,2010,51.53551,62.77272719,2.55295484
115,5,59,0.1581325817578363,2306.0,0.1376027750256415,1893.0,1,1999000,2006,2010,52.60543,61.88536611,2.62926884
116,5,61,0.2088218053927315,513.0,0.2692111168884957,1196.0,0,3627300,2006,2010,53.46718,61.60799999,2.54775009
117,5,63,0.104134504729559,2597.0,0.0992670473991382,1981.0,1,25903000,2006,2010,47.44941,59.87568627,2.55647039
118,5,65,0.1573800379374367,1174.0,0.2717113432181725,1302.0,3,26339000,2006,2010,45.32592,58.43081098,2.56486522
119,5,67,0.1961599700290343,2618.0,0.2057362102508829,1214.0,2,9502000,2006,2010,48.67711,60.96486519,2.46918931
120,5,69,0.0723309152709887,5966.0,0.090517070116707,5627.0,1,6453000,2006,2010,50.50018,63.03709664,2.65032264
121,5,71,0.1172065593245507,1105.0,0.126294652293384,1195.0,0,3501000,2006,2010,49.34398,59.01292661,2.58536595
122,5,73,0.2603590572619756,459.0,0.3788931439997289,559.0,1,1545000,2006,2010,50.64944,63.78250006,2.65750026
123,5,75,0.1303046468848671,872.0,0.2192671155094095,865.0,0,12872560,2006,2010,47.19541,60.12804869,2.44780498
124,5,77,0.2854627371182413,1271.0,0.3317074262188709,1186.0,0,60010,2006,2010,51.32019,61.7141465,2.4429271
125,5,79,0.2204814437131114,1427.0,0.3157906850954622,1372.0,0,1752000,2006,2010,51.65028,63.40176448,2.6205883
126,5,81,0.4244449565952216,884.0,0.1658620871583834,503.0,1,841000,2006,2010,49.08884,63.69615389,2.62051332
127,5,83,0.1561518442071255,1218.0,0.1535486676048925,1342.0,0,21088000,2006,2010,47.35317,60.72377374,2.67207545
128,5,85,0.0988869141055745,6098.0,0.0995454047540804,5089.0,0,24610200,2006,2010,48.87039,62.16960765,2.65549102
129,5,87,0.3388269577050487,986.0,0.2356420216384664,859.0,2,790000,2006,2010,47.86591,57.32894723,2.57929812
130,5,89,0.180390492359932,1139.0,0.3029023804563546,1105.0,1,2991000,2006,2010,43.98699,58.16232557,2.66046506
131,5,91,0.1300072562189517,3913.0,0.1481409217617207,4100.0,0,89258100,2006,2010,48.96202,64.37555542,2.69777849
132,5,93,0.0881411846061846,2799.0,0.0892770499757399,2576.0,1,2222720,2006,2010,49.36366,60.69921893,2.54234356
133,5,95,0.2975978471645099,376.0,0.3154010324127128,600.0,0,4152000,2006,2010,49.65197,61.82000006,2.36380958
134,5,97,0.4407144115002827,951.0,0.4922738577008893,770.0,20,9230750,2006,2010,54.63892,59.32660373,2.43830202
135,5,99,0.5053795909285953,636.0,0.3878008656777271,818.0,0,384000,2006,2010,51.91453,63.05950003,2.59324922
136,5,101,0.2370302003744238,452.0,0.5739710191682126,427.0,0,2222900,2006,2010,48.45979,57.04307681,2.54192308
137,5,103,0.1360754600278336,1408.0,0.1192898905855587,1034.0,1,7430100,2006,2010,52.3425,63.0,2.57122429
138,5,105,0.3774831567773661,697.0,0.3529528733346589,497.0,0,5909000,2006,2010,49.46968,60.58594616,2.49216234
139,5,107,0.18949709513435,1169.0,0.2314763447541274,1669.0,0,3232250,2006,2010,51.95185,62.26777785,2.33711157
140,5,109,0.2584482292511489,717.0,0.3544165757906216,624.0,0,670500,2006,2010,54.86879,60.96047619,2.43285734
141,5,111,0.1998761985650993,1805.0,0.2525266807304893,1786.0,1,1203540,2006,2010,49.07851,61.01125018,2.50583339
142,5,113,0.1000777463484029,968.0,0.1420433023742064,1125.0,3,130777500,2006,2010,56.35215,59.76480777,2.66942303
143,5,115,0.0869864998755871,4244.0,0.0773949527693372,3842.0,6,19286100,2006,2010,49.72538,59.50157888,2.51912275
144,5,117,0.2912468513853904,407.0,0.3374051600024731,382.0,0,25662100,2006,2010,49.34965,62.04780495,2.47365858
145,5,119,0.0214681480076105,24758.0,0.0209902034784702,25088.0,2,160366300,2006,2010,50.10522,62.3122223,2.74796232
146,5,121,0.1835189142578637,979.0,0.1909113896615251,1057.0,2,8617760,2006,2010,46.54801,58.9517779,2.54666655
147,5,123,0.0899731149945008,1767.0,0.1363210415997786,2089.0,0,541190,2006,2010,51.14127,61.59538445,2.47564101
148,5,125,0.070445593949087,8197.0,0.0661455436756251,5747.0,1,33751000,2006,2010,52.71044,61.61529421,2.60901941
149,5,127,0.3421882035119316,608.0,0.3692462620809265,792.0,1,1869000,2006,2010,50.16038,60.3245614,2.61859647
150,5,129,0.2630828751781714,323.0,0.5056214416377202,984.0,0,2078700,2006,2010,45.981,57.63410285,2.58256433
151,5,131,0.048943245945838,7958.0,0.0525991728593534,8389.0,0,5109000,2006,2010,45.86151,61.13297261,2.80081095
152,5,133,0.3924193873663925,1401.0,0.1623165822620439,575.0,0,4037100,2006,2010,51.51239,62.53600035,2.56550035
153,5,135,0.2096712948440673,1270.0,0.2668182855187361,1497.0,2,48772500,2006,2010,46.10185,58.65999995,2.48432438
154,5,137,0.3353785154015531,856.0,0.3401149439555119,1096.0,2,37634000,2006,2010,47.42632,57.99425523,2.57063788
155,5,139,0.0706319834382621,1594.0,0.1039242492233945,2390.0,2,6871000,2006,2010,53.83682,63.67611106,2.54777766
156,5,141,0.3264781276354133,1564.0,0.2143336587747132,843.0,7,40316000,2006,2010,49.64538,58.40549005,2.49588245
157,5,143,0.0422593862621007,19317.0,0.0298078801902232,12355.0,6,59963000,2006,2010,47.47706,57.57828099,2.46531248
158,5,145,0.0559501590116092,6675.0,0.0589621128142709,4135.0,0,16301450,2006,2010,49.89009,61.02082192,2.49095912
159,5,147,0.2177476186328616,275.0,1.1130434782608696,896.0,0,5619600,2006,2010,49.47847,61.56054069,2.47108119
160,5,149,0.146781749324885,1086.0,0.2421027781544937,1446.0,2,5290000,2006,2010,49.04055,60.32719281,2.55421073
161,6,1,0.0180660446302336,94458.0,0.0139461085937498,87567.0,7,69065000,2006,2010,18.98139,58.18796299,1.786296
162,6,3,1.5050579817419196,122.0,2.013177159590044,330.0,3,18500000,2006,2010,47.12021,41.13176466,2.4427449
163,6,5,0.1516574693749755,2945.0,0.1370930877459903,3206.0,0,801000,2006,2010,35.28814,55.40300007,2.15300016
164,6,7,0.0507172297438926,15437.0,0.0385939177576204,12229.0,0,120000,2006,2010,43.6198,58.44568966,2.14362066
165,6,9,0.1357475970485845,2294.0,0.107125992558532,2559.0,0,10,2006,2010,34.00586,56.82138888,2.15972233
166,6,11,0.2113732634678188,1499.0,0.2312746386333771,1188.0,0,700000,2006,2010,20.96057,59.53712492,1.91312489
167,6,13,0.022563931206971,54859.0,0.0147204008649609,51108.0,2,44110000,2006,2010,19.25599,59.9190909,1.86763624
168,6,15,0.2079323209999762,3150.0,0.1653705193528202,2442.0,1,341000,2006,2010,101.34319,47.50329264,1.63487797
169,6,17,0.0516064330803699,10619.0,0.0404213891295739,10231.0,1,11809000,2006,2010,44.25591,52.13195112,2.22276406
170,6,19,0.0154908275632182,32129.0,0.0133232338975741,32037.0,3,11483000,2006,2010,21.51097,55.05588524,2.18895265
171,6,21,0.1624598930481283,1519.0,0.1761012093088659,1603.0,0,150000,2006,2010,24.77941,58.05787871,2.11111115
172,6,23,0.0466095668487213,8524.0,0.0379606014910367,7798.0,0,0,2006,2010,74.65509,50.35055969,1.79093276
173,6,25,0.0672844568226086,9923.0,0.0531305563172839,8649.0,0,4072000,2006,2010,2.90712,72.2616152,2.22408969
174,6,27,0.2450935366339058,1601.0,0.1466119695459415,1337.0,2,30806000,2006,2010,7.17705,58.50187691,2.43917421
175,6,29,0.0205592570010229,55115.0,0.0143215489608961,36963.0,0,17292000,2006,2010,9.08535,60.74393889,2.12091722
176,6,31,0.0710805913788437,14610.0,0.0559480454740573,10101.0,0,294000,2006,2010,7.86039,63.43870598,1.95576464
177,6,33,0.1133175018881666,4120.0,0.0696475261235161,3058.0,1,1003000,2006,2010,41.5376,53.91443162,1.81170441
178,6,35,0.2222055340844783,6628.0,0.2006842886123475,4971.0,0,5002000,2006,2010,17.31638,44.96081077,2.42813816
179,6,37,0.003837612904655,282728.0,0.0033967111918428,360426.0,2,9810000,2006,2010,16.8719,60.93678089,2.24736316
180,6,39,0.0966807269201175,11119.0,0.0886023418334381,10120.0,10,21065500,2006,2010,25.7172,55.26744825,2.25710362
181,6,41,0.0516094666442954,18308.0,0.0405988014079746,14578.0,11,216232000,2006,2010,37.81831,57.49038491,1.50307692
182,6,43,0.2409022176603343,1488.0,0.2291001594243737,1187.0,4,126097000,2006,2010,33.01126,53.35260006,2.27269981
183,6,45,0.0603190875280831,4067.0,0.0583488365475765,4942.0,0,10000000,2006,2010,55.96354,52.67638777,1.68258544
184,6,47,0.0447173921748299,12329.0,0.036349087055361,12161.0,10,10002500,2006,2010,11.7621,61.6528031,2.10484855
185,6,49,0.3489917452630796,1032.0,0.25191977448725,311.0,1,8738500,2006,2010,17.90677,46.18709035,2.36989971
186,6,51,0.4526361529548088,1500.0,0.2883155876337864,1039.0,0,51000,2006,2010,19.4084,42.29269412,2.49091328
187,6,53,0.0203057457970191,26655.0,0.026500732239874,24326.0,0,260000,2006,2010,20.21621,56.13240339,1.7661802
188,6,55,0.0626773317235134,8306.0,0.0546650480327733,6804.0,16,269201000,2006,2010,32.7539,58.13428552,1.98446471
189,6,57,0.08483820470575,6278.0,0.0590031587249372,5955.0,1,2248500,2006,2010,53.28789,50.97323104,2.13523072
190,6,59,0.0098241917452006,137235.0,0.0071597798441424,132511.0,4,86930000,2006,2010,13.99786,61.91266664,1.93100001
191,6,61,0.0438178478966802,24659.0,0.0352351189815769,19769.0,1,4951000,2006,2010,46.78884,52.35885718,2.20666664
192,6,63,0.2984159515331334,1392.0,0.1862482571130207,1277.0,1,1112000,2006,2010,43.479,45.16600012,2.33632441
193,6,65,0.0140777980344708,141634.0,0.0083953594636222,99508.0,2,65650500,2006,2010,7.48315,66.91037978,2.31641356
194,6,67,0.0164850376148281,78756.0,0.0110672261869623,70903.0,0,6565030,2006,2010,19.11786,61.90617645,2.05235325
195,6,69,0.1822427082693936,3830.0,0.1353952465209698,3171.0,2,766000,2006,2010,16.51944,56.08744481,1.99955555
196,6,71,0.0129596912604844,124201.0,0.0087993141975973,107221.0,19,1291119600,2006,2010,6.47421,65.31249037,2.37319879
197,6,73,0.0072218937228376,175747.0,0.0049430175395248,143333.0,28,1199427000,2006,2010,14.36152,61.6354737,2.13961404
198,6,75,0.0265591297930136,57717.0,0.0226854153728022,61281.0,1,630000,2006,2010,22.78345,57.3420002,1.41799965
199,6,77,0.0305583698746904,37068.0,0.0192440228508758,32960.0,0,795000,2006,2010,13.98834,61.0543299,2.03680412
200,6,79,0.0538169490240309,23508.0,0.036570878737479,16486.0,1,5000000,2006,2010,17.3123,56.30527198,1.8535983
201,6,81,0.0309327746690244,42996.0,0.0232078247211886,39477.0,2,18138000,2006,2010,28.30548,55.77795454,1.51772715
202,6,83,0.0291591375579394,29211.0,0.0234740174440945,24991.0,2,12020000,2006,2010,19.93225,56.19616438,1.73456622
203,6,85,0.0144692649273515,91268.0,0.0116416326548187,80298.0,1,2651000,2006,2010,22.96904,58.08593018,1.80441879
204,6,87,0.0464901899457406,18546.0,0.0374888666890423,17248.0,2,11680000,2006,2010,38.44894,55.85028534,1.70314276
205,6,89,0.0455045332997886,8595.0,0.0323905594365667,8850.0,2,413900,2006,2010,49.45652,52.47880015,2.11727282
206,6,91,0.7070556713307532,95.0,0.5752044114850732,242.0,3,8718900,2006,2010,50.76582,44.40656251,2.27109396
207,6,93,0.0667714043160703,2896.0,0.0950059880897444,2767.0,0,3308100,2006,2010,41.95505,45.83945165,2.25046051
208,6,95,0.0307391647507615,25337.0,0.0306337590228918,25773.0,3,22429600,2006,2010,19.13791,60.68406787,2.02000001
209,6,97,0.0208462527582585,20429.0,0.01935535465872,19851.0,2,209096500,2006,2010,47.51455,56.38846158,1.63042733
210,6,99,0.0282999209379576,24011.0,0.0198417727832147,24845.0,3,4684510,2006,2010,13.60388,60.96295235,2.02266664
211,6,101,0.1043644293044902,7215.0,0.0842973391222227,6309.0,0,985000,2006,2010,19.74599,62.41365861,2.09000015
212,6,103,0.0910010979272926,3816.0,0.0957392421162886,3839.0,0,14000,2006,2010,35.5093,56.30902451,2.14921939
213,6,105,0.1811414653690836,859.0,0.2580879680116321,1065.0,0,0,2006,2010,59.61567,47.37520003,2.02675557
214,6,107,0.0277487182454534,15317.0,0.0212909778039041,16088.0,2,14171330,2006,2010,22.70167,52.06921393,2.23172951
215,6,109,0.1517606627391592,6158.0,0.0994446260035515,4041.0,0,6000,2006,2010,43.52968,47.42026136,2.24352935
216,6,111,0.0171955131979075,40394.0,0.0136792371921469,37004.0,1,0,2006,2010,21.85605,55.90837204,2.09496124
217,6,113,0.0879533698066516,25252.0,0.0519662774257736,14886.0,0,25000,2006,2010,19.83898,60.79054049,2.00445948
218,6,115,0.1212093808404172,8042.0,0.1026549442314511,6137.0,0,4912000,2006,2010,36.30979,60.33888889,2.12955551
219,8,1,0.0397232846509665,40341.0,0.0296856260004821,32634.0,1,70125000,2006,2010,14.58878,50.24696186,2.58556965
220,8,3,0.2653355518580144,1794.0,0.2584222071695681,1568.0,0,32000,2006,2010,8.64074,42.40857136,2.52795908
221,8,5,0.025232443338075,51829.0,0.0224069711964131,46811.0,0,161908500,2006,2010,15.9936,49.76016131,2.49161295
222,8,7,0.2083714391257724,581.0,0.252300524170064,1083.0,1,502500,2006,2010,25.3986,40.5705437,2.71413032
223,8,9,0.1938006852238513,168.0,0.5995565779475597,576.0,1,1199500,2006,2010,15.36689,54.23568754,2.5749373
224,8,11,0.8793734171278492,1125.0,1.1330472103004292,858.0,0,1467000,2006,2010,12.81354,53.78509975,2.57839993
